,X,TAXA,GENUS,SPECIES,LOCOMOTION,LOCOMOTION2,SUBSTRATE,GRP,LOCSUB,,SEX,MATURITY,MASS (KG)
102,Pan-paniscus-MCZ-38019-humerus,Pan paniscus,Pan,paniscus,quadruped,,arboreal,Hominoid,arboreal quadruped,,Female,,33.2
103,Pan-paniscus-MCZ-38020-humerus,Pan paniscus,Pan,paniscus,quadruped,,arboreal,Hominoid,arboreal quadruped,,Male,,45
104,Pan-pansicus-AMNH-86857-humerus,Pan paniscus,Pan,paniscus,quadruped,,arboreal,Hominoid,arboreal quadruped,,Female,,33.2
105,Pan-troglodytes-PRICT-1516-humerus,Pan troglodytes,Pan,troglodytes,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,Male,,70.8
106,Pan-troglodytes-PRICT-1522-humerus,Pan troglodytes,Pan,troglodytes,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,Male,,65.4
107,Pan-troglodytes-PRICT-2803-humerus,Pan troglodytes,Pan,troglodytes,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,Male,,59.7
108,Pan-troglodytes-PRICT-2830-humerus,Pan troglodytes,Pan,troglodytes,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,Female,,45.8
109,Pan-troglodytes-PRICT-2838-humerus,Pan troglodytes,Pan,troglodytes,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,Female,,45.8
110,Pan-troglodytes-PRICT-2857-humerus,Pan troglodytes,Pan,troglodytes,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,Female,,45.8
111,Pan-troglodytes-PRICT-454-humerus,Pan troglodytes,Pan,troglodytes,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,Male,,59.7
112,Pan-troglodytes-PRICT-586-humerus,Pan troglodytes,Pan,troglodytes,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,Female,,45.8
113,Pan-troglodytes-YPM-015939-humerus,Pan troglodytes,Pan,troglodytes,quadruped,,terrestrial,Hominoid,terrestrial quadruped,,,,45.8
114,Papio-anubis-AMNH-120388-humerus,Papio anubis,Papio,anubis,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Male,,25.1
115,Papio-anubis-AMNH-51380-humerus,Papio anubis,Papio,anubis,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Male,,25.1
116,Papio-anubis-AMNH-52668-humerus,Papio anubis,Papio,anubis,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Female,,13.3
117,Papio-anubis-AMNH-82092-humerus,Papio anubis,Papio,anubis,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,,,19.2
118,Papio-anubis-AMNH-82097-humerus,Papio anubis,Papio,anubis,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,,,19.2
119,Papio-doguera-MCZ-10748-humerus,Papio doguera,Papio,doguera,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Male,immature,25.1
120,Papio-doguera-MCZ-8304-humerus,Papio doguera,Papio,doguera,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Male,,25.1
121,Papio-hamadryas-MCZ-5008-humerus,Papio hamadryas,Papio,hamadryas,quadruped,,terrestrial,Old World Monkey,terrestrial quadruped,,Female,,9.9
