,TAXA,GENUS,SPECIES,LOCOMOTION,LOCOMOTION2,SUBSTRATE,GRP
Saimiri-sciureus-AMNH-188091-humerus,Saimiri sciureus,Saimiri,sciureus,quadruped,leaper,arboreal,Old World Monkey
Saimiri-sciureus-USNM-397341-humerus,Saimiri sciureus,Saimiri,sciureus,quadruped,leaper,arboreal,Old World Monkey
Saimiri-sciureus-USNM-398040-humerus,Saimiri sciureus,Saimiri,sciureus,quadruped,leaper,arboreal,Old World Monkey
Semnopithecus-entellus-AMNH-150044-humerus,Seminopithecus entellus,Semnopithecus,entellus,quadruped,,terrestrial,Old World Monkey
Semnopithecus-entellus-AMNH-90328-humerus,Seminopithecus entellus,Semnopithecus,entellus,quadruped,,terrestrial,Old World Monkey
Symphanlangus-syndactylus-AMNH-106581-humerus,Hylobates syndactylus,Hylobates,syndactylus,suspension,,arboreal,Hominoid
Symphanlangus-syndactylus-AMNH-106583-humerus,Hylobates syndactylus,Hylobates,syndactylus,suspension,,arboreal,Hominoid
Trachypithecus-cristata-mcz-mamm-35603-humerus,Trachypithecus cristata,Trachypithecus,cristata,quadruped,leaper,arboreal,Old World Monkey
Trachypithecus-cristata-mcz-mamm-35604-humerus,Trachypithecus cristata,Trachypithecus,cristata,quadruped,leaper,arboreal,Old World Monkey
Trachypithecus-cristata-mcz-mamm-35610-humerus,Trachypithecus cristata,Trachypithecus,cristata,quadruped,leaper,arboreal,Old World Monkey
Trachypithecus-cristata-mcz-mamm-35618-humerus,Trachypithecus cristata,Trachypithecus,cristata,quadruped,leaper,arboreal,Old World Monkey
Trachypithecus-cristata-mcz-mamm-35640-humerus,Trachypithecus cristata,Trachypithecus,cristata,quadruped,leaper,arboreal,Old World Monkey
Trachypithecus-cristata-mcz-mamm-35678-humerus,Trachypithecus cristata,Trachypithecus,cristata,quadruped,leaper,arboreal,Old World Monkey
Trachypithecus-cristata-mcz-mamm-35682-humerus,Trachypithecus cristata,Trachypithecus,cristata,quadruped,leaper,arboreal,Old World Monkey
Trachypithecus-cristata-mcz-mamm-35683-humerus,Trachypithecus cristata,Trachypithecus,cristata,quadruped,leaper,arboreal,Old World Monkey
Trachypithecus-cristata-mcz-mamm-35696-humerus,Trachypithecus cristata,Trachypithecus,cristata,quadruped,leaper,arboreal,Old World Monkey
